season,hour_local,load,price,renewable_share
Spring,19,29764.839673913044,52.618478260869566,0.46618869663494894
Spring,20,30659.163043478264,56.17461956521739,0.4563626380051597
Spring,21,31384.648501362397,58.23915760869565,0.4531931492743651
Spring,22,29847.5625,54.67048913043478,0.44571057014974375
Spring,23,27535.446866485014,50.47233695652174,0.43501902435681955
Summer,0,27098.448369565216,57.97760869565217,0.3522576537053208
Summer,1,25416.679347826088,54.76475543478261,0.3517968714251787
Summer,2,24225.940217391304,52.45385869565217,0.349933396872993
Summer,3,23622.114130434784,51.68415760869565,0.34838058323119786
Summer,4,23343.350543478264,51.22703804347826,0.34417315141846105
Summer,5,23520.649456521736,51.58358695652174,0.3359295553451008
Summer,6,24778.005434782608,54.0960597826087,0.32435626800360623
Summer,7,26514.994565217392,55.87497282608695,0.31894400125911604
Summer,8,28316.665760869564,60.01456521739131,0.32607333244398623
Summer,9,30191.653950953678,61.440788043478264,0.35334458062221596
Summer,10,31512.649456521736,61.92627717391304,0.3837290842170049
Summer,11,32193.252717391304,63.791304347826085,0.40045368095261114
Summer,12,32745.209239130436,64.26798913043478,0.40955602314192063
Summer,13,33104.35326086957,64.63597826086956,0.4144606250886914
Summer,14,32547.217391304344,63.630298913043475,0.41445810862439514
Summer,15,31826.0625,61.28834239130435,0.41401985873965924
Summer,16,31553.26902173913,60.422690217391306,0.4122036548731555
Summer,17,31489.548913043476,60.38586956521739,0.40705430371221535
Summer,18,31417.689373297002,60.483722826086954,0.4001285433622364
Summer,19,31417.703804347828,60.13407608695652,0.3897659768733324
Summer,20,31532.046195652172,61.34774456521739,0.3751875705315124
Summer,21,31897.375,63.86660326086956,0.36705536993258875
Summer,22,30887.50136239782,63.82513586956522,0.3606889165108093
Summer,23,28760.14945652174,60.149266304347826,0.3478378858252976
Winter,0,26708.473684210527,56.33008310249308,0.3896534642627862
Winter,1,24801.116343490306,51.3819944598338,0.39950434079513863
Winter,2,23555.717451523546,47.94797783933518,0.4063646213401848
Winter,3,22968.141274238227,46.09850415512465,0.4112291003621766
Winter,4,22761.722991689752,45.08592797783933,0.4121034397121198
Winter,5,23123.4432132964,46.486592797783935,0.4059289195454097
Winter,6,24863.842105263157,51.2606648199446,0.3910817257148796
Winter,7,27776.291666666664,58.18135734072022,0.3823640823275343
Winter,8,29838.047222222223,62.89501385041551,0.3856964244102172
Winter,9,31406.972144846797,65.27462603878116,0.4005170227428729
Winter,10,32460.448753462602,67.37761772853186,0.41569402258176247
Winter,11,32684.994459833797,66.07199445983379,0.4268915091992208
Winter,12,32566.713091922007,64.61243767313019,0.4329158426339044
Winter,13,32536.483240223464,62.901108033240995,0.43579160715233256
Winter,14,31692.557103064064,61.06825484764543,0.4361051719186688
Winter,15,30882.85236768802,59.52554016620498,0.4351458944463697
Winter,16,30519.24512534819,59.80304709141274,0.42706674689562546
Winter,17,30670.075208913648,63.3307756232687,0.41353953198163645
Winter,18,31743.466666666667,70.86404432132964,0.4080028894102657
Winter,19,32940.88611111111,73.45529085872576,0.40795167136668237
Winter,20,33473.45152354571,72.8483379501385,0.4046717250740959
Winter,21,33250.51523545707,69.69686980609418,0.4000645946115478
Winter,22,31377.265927977838,64.88609418282549,0.39168256879956387
Winter,23,28811.1135734072,60.55880886426593,0.38519428568037084
