city_name,date,temp_c
Barcelona,2015-01-01,9.33794531250004
Barcelona,2015-01-02,10.608041666666736
Barcelona,2015-01-03,11.389063802083342
Barcelona,2015-01-04,13.468458333333388
Barcelona,2015-01-05,11.965748697916695
Barcelona,2015-01-06,11.685416666666697
Barcelona,2015-01-07,11.1173541666667
Barcelona,2015-01-08,11.74361328125002
Barcelona,2015-01-09,11.178966145833328
Barcelona,2015-01-10,12.144569010416717
Barcelona,2015-01-11,14.155139322916682
Barcelona,2015-01-12,12.527083333333337
Barcelona,2015-01-13,14.018333333333374
Barcelona,2015-01-14,13.06125000000003
Barcelona,2015-01-15,13.66220052083338
Barcelona,2015-01-16,13.63094401041667
Barcelona,2015-01-17,9.957500000000039
Barcelona,2015-01-18,9.553750000000036
Barcelona,2015-01-19,9.96350000000001
Barcelona,2015-01-20,8.991458333333355
Barcelona,2015-01-21,8.16833333333335
Barcelona,2015-01-22,8.845889322916719
Barcelona,2015-01-23,10.115312500000016
Barcelona,2015-01-24,10.058041666666668
Barcelona,2015-01-25,11.476750000000038
Barcelona,2015-01-26,9.285395833333382
Barcelona,2015-01-27,10.413649739583377
Barcelona,2015-01-28,9.835460937500045
Barcelona,2015-01-29,11.871610677083368
Barcelona,2015-01-30,12.727250000000026
Barcelona,2015-01-31,10.213686197916672
Barcelona,2015-02-01,8.39889583333337
Barcelona,2015-02-02,8.470434895833364
Barcelona,2015-02-03,8.243044270833366
Barcelona,2015-02-04,5.308333333333337
Barcelona,2015-02-05,6.709375000000023
Barcelona,2015-02-06,5.486854166666717
Barcelona,2015-02-07,6.813500000000033
Barcelona,2015-02-08,8.233152343750021
Barcelona,2015-02-09,8.333875000000035
Barcelona,2015-02-10,8.8125
Barcelona,2015-02-11,9.917354166666712
Barcelona,2015-02-12,11.155833333333362
Barcelona,2015-02-13,12.867500000000007
Barcelona,2015-02-14,11.426666666666677
Barcelona,2015-02-15,11.108430989583383
Barcelona,2015-02-16,10.362858072916708
Barcelona,2015-02-17,12.401260416666673
Barcelona,2015-02-18,12.466208333333384
Barcelona,2015-02-19,11.231750000000034
Barcelona,2015-02-20,6.117075520833339
Barcelona,2015-02-21,9.347145833333343
Barcelona,2015-02-22,7.027958333333345
Barcelona,2015-02-23,9.827291666666667
Barcelona,2015-02-24,11.740875000000017
Barcelona,2015-02-25,11.536250000000052
Barcelona,2015-02-26,12.411083333333352
Barcelona,2015-02-27,11.346631510416671
Barcelona,2015-02-28,9.186750000000018
Barcelona,2015-03-01,13.008916666666664
Barcelona,2015-03-02,15.618145833333358
Barcelona,2015-03-03,14.730375000000038
Barcelona,2015-03-04,10.965916666666658
Barcelona,2015-03-05,12.131458333333342
Barcelona,2015-03-06,10.575104166666677
Barcelona,2015-03-07,11.376485677083338
Barcelona,2015-03-08,10.915791666666678
Barcelona,2015-03-09,12.174229166666692
Barcelona,2015-03-10,12.108277343750046
Barcelona,2015-03-11,14.377903645833385
Barcelona,2015-03-12,13.297598958333367
Barcelona,2015-03-13,11.942544270833366
Barcelona,2015-03-14,8.67131119791668
Barcelona,2015-03-15,9.218415364583336
Barcelona,2015-03-16,10.186996093749997
Barcelona,2015-03-17,10.590955729166694
Barcelona,2015-03-18,12.467748697916704
Barcelona,2015-03-19,13.087567708333381
Barcelona,2015-03-20,13.770613281250007
Barcelona,2015-03-21,12.538522135416656
Barcelona,2015-03-22,11.962625000000003
Barcelona,2015-03-23,12.503372395833367
Barcelona,2015-03-24,12.02050651041668
Barcelona,2015-03-25,11.272175781250041
Barcelona,2015-03-26,9.657401041666674
Barcelona,2015-03-27,11.96309765625
Barcelona,2015-03-28,12.959041666666678
Barcelona,2015-03-29,13.852523097826122
Barcelona,2015-03-30,14.904750000000035
Barcelona,2015-03-31,13.912394531250015
Barcelona,2015-04-01,13.565377604166713
Barcelona,2015-04-02,13.076813802083336
Barcelona,2015-04-03,12.838730468750043
Barcelona,2015-04-04,12.544625000000053
Barcelona,2015-04-05,12.69568489583338
Barcelona,2015-04-06,12.240708333333373
Barcelona,2015-04-07,12.016352864583382
Barcelona,2015-04-08,11.67839973958337
Barcelona,2015-04-09,11.621356770833358
Barcelona,2015-04-10,12.34050000000002
Barcelona,2015-04-11,12.96691796875001
Barcelona,2015-04-12,13.455605468750036
Barcelona,2015-04-13,13.702270833333387
Barcelona,2015-04-14,14.592165364583366
Barcelona,2015-04-15,14.569250000000011
Barcelona,2015-04-16,15.126419270833367
Barcelona,2015-04-17,14.850187500000004
Barcelona,2015-04-18,14.958667968750035
Barcelona,2015-04-19,13.753458333333356
Barcelona,2015-04-20,14.122042968750009
Barcelona,2015-04-21,15.057442708333383
Barcelona,2015-04-22,15.067660156250042
Barcelona,2015-04-23,15.000929687500047
Barcelona,2015-04-24,15.44304036458334
Barcelona,2015-04-25,16.077610677083385
Barcelona,2015-04-26,16.05018750000005
Barcelona,2015-04-27,15.274096354166716
Barcelona,2015-04-28,15.471257812500028
Barcelona,2015-04-29,15.03097395833339
Barcelona,2015-04-30,15.109854166666707
Barcelona,2015-05-01,17.176333333333332
Barcelona,2015-05-02,17.34999348958337
Barcelona,2015-05-03,17.809902343750025
Barcelona,2015-05-04,17.5913268229167
Barcelona,2015-05-05,18.542791666666687
Barcelona,2015-05-06,17.624500000000012
Barcelona,2015-05-07,17.18258984375001
Barcelona,2015-05-08,17.890666666666675
Barcelona,2015-05-09,18.566735677083386
Barcelona,2015-05-10,18.652895833333332
Barcelona,2015-05-11,18.306298177083363
Barcelona,2015-05-12,17.40111197916667
Barcelona,2015-05-13,18.713194010416714
Barcelona,2015-05-14,19.86879166666671
Barcelona,2015-05-15,19.52237500000001
