city_name,avg_temp_c,max_temp_c,min_temp_c,avg_wind_speed,avg_humidity,pct_clear,pct_rain,n_obs,lat,lon,population
Barcelona,16.717177829290904,34,1,2.7827401323295318,73.83070955966257,42.08875199634953,10.723248916267398,35064,41.3874,2.1686,5500000
Bilbao,13.293450978924284,33.33000000000004,-2,1.9583048140542554,78.73100616016453,24.10164271047228,21.657540497376225,35064,43.263,-2.935,1000000
Madrid,15.12713097389775,37.437000000000296,-3.158999999999992,2.4338067533652006,58.72533082363666,58.04243668720055,8.36185261236596,35064,40.4168,-3.7038,6700000
Seville,20.0165414474248,43,2,2.4827173169062156,63.78051562856475,67.23990417522245,7.064225416381474,35064,37.3891,-5.9845,1500000
Valencia,17.63395354833318,34.44,2.0826400000000262,2.6924766141912126,65.0939710244122,44.29614419347479,5.5726671229751314,35064,39.4699,-0.3763,1600000
